ROWNUM;NAME;ADDRESS;X;Y;NAPRAVLENIE;USL_SPEED;GLOBALID;
1;"Комплекс фото-видеофиксации нарушений ПДД";"1-й Вышеславцев переулок, д.8";"37.605547";"55.791261";"в центр";"Проезд грузового транспорта";"87476396";
2;"Комплекс фото-видеофиксации нарушений ПДД";"1-й Кожуховский переулок, д.5/7";"37.660492";"55.705997";"в центр";"Проезд грузового транспорта";"87476397";
3;"Комплекс фото-видеофиксации нарушений ПДД";"1-й Новый переулок, д.5, стр.4, по улице Нижняя Красносельская";"37.667997";"55.778317";"в центр";"Проезд грузового транспорта";"87476398";
4;"Комплекс фото-видеофиксации нарушений ПДД";"1-я Дубровская улица, д.2б, стр.1";"37.668127";"55.729461";"из центра";"Контроль база";"87476399";
5;"Комплекс фото-видеофиксации нарушений ПДД";"улица 26-ти Бакинских Комиссаров, д.3, корп.1";"37.489245";"55.65846";"к Ленинскому пр-ту";"Контроль база";"87476400";
6;"Комплекс фото-видеофиксации нарушений ПДД";"улица Cвободы - МКАД";"37.424667";"55.875696";"внутренняя сторона МКАД";"Контроль база+скорость";"87482402";
7;"Комплекс фото-видеофиксации нарушений ПДД";"Автозаводская улица, д.17";"37.654242";"55.704878";"в центр";"Проезд грузового транспорта";"87482404";
8;"Комплекс фото-видеофиксации нарушений ПДД";"Автозаводская улица, д.2";"37.663686";"55.710139";"из центра";"Проезд грузового транспорта";"87482405";
9;"Комплекс фото-видеофиксации нарушений ПДД";"Автомобильный проезд, д.10";"37.710102";"55.725725";"в центр";"Проезд грузового транспорта";"87482406";
10;"Комплекс фото-видеофиксации нарушений ПДД";"улица Айвазовского, д.2, МГТ № 342";"37.541558";"55.618839";"из центра";"Выделенная полоса";"87482407";
11;"Комплекс фото-видеофиксации нарушений ПДД";"улица Айвазовского, д.5, корп.1, МГТ № 355";"37.540767";"55.615553";"в центр";"Выделенная полоса";"87482408";
12;"Комплекс фото-видеофиксации нарушений ПДД";"набережная Академика Туполева, д.15";"37.679306";"55.759353";"в центр";"Проезд грузового транспорта";"87482409";
13;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе - МКАД";"37.591829";"55.908728";"съезд на внутреннее кольцо МКАД";"Контроль база";"87482410";
14;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе - МКАД";"37.590727";"55.913223";"из центра";"Контроль база";"87482411";
15;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе - МКАД";"37.586382";"55.910343";"внутренняя сторона МКАД";"Контроль база+скорость";"87482412";
16;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе - МКАД";"37.587162";"55.907829";"в центр";"Контроль база";"87482413";
17;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе, д.13, корп.2";"37.584403";"55.853386";"в центр";"Выделенная полоса";"87482414";
18;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе, д.22 Б";"37.5846";"55.860311";"из центра";"Выделенная полоса";"87482415";
19;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе, д.28";"37.584497";"55.865364";"из центра";"Выделенная полоса";"87482416";
20;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе, д.29";"37.584167";"55.858547";"в центр";"Выделенная полоса";"87482417";
21;"Комплекс фото-видеофиксации нарушений ПДД";"Алтуфьевское шоссе, д.33, стр.1";"37.583998";"55.864222";"в центр";"Выделенная полоса";"87482418";
